Word,Count,Translation,Hiragana Reading,Category
難しい,1,difficult,むずか,名詞
難易度,2,degree,なに,名詞
雨,1,rain,あめ,名詞
雲,3,cloud,くも,名詞
震え,1,shivering,ふるえ,名詞
震える,1,to shiver,ふるえる,名詞
青,1,blue,あお,名詞
非常,1,emergency,ひじょう,名詞
面白,2,amusing,おもしろ,名詞
頃,3,approximate,ころ,名詞
頬,1,cheek,ほお,名詞
頭,8,head,あたま,名詞
願い,5,desire,ねがい,名詞
願う,1,wish,ねがう,名詞
風,4,wind,かぜ,名詞
飛び交う,1,to fly about,とびかう,名詞
飛び込む,1,to jump in,とびこむ,名詞
食,1,eat,たべ,名詞
食べ物,2,food,たべもの,名詞
食欲,4,appetite,しょきょく,名詞
飾,1,decorate,かぎ,名詞
香り,2,scent,かおり,名詞
駆け抜け,1,to run through,かけぬけ,名詞
高,1,tall,たかい,名詞
髪,1,hair,かみ,名詞
魂,2,soul,たましい,名詞
魚,1,fish,さかな,名詞
鳥取,1,Tottori,とっとり,名詞
鳥籠,1,birdcage,とりかご,名詞
鳴ら,2,to beat,なら,名詞
鼓動,2,beat,こどう,名詞
